#=====================================================
# File created:        Tue-29-Oct-2024-at-02-41-21PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.127135
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2505.4705  0.2574 
   00001    0.6812   -3728.4146  0.2582 
   00002    0.6224   -4518.2586  0.2684 
   00003    0.5724   -4975.6905  0.2674 
   00004    0.5660   -5373.9275  0.2693 
   00005    0.5336   -5687.9153  0.2672 
   00006    0.5324   -5993.4477  0.2730 
   00007    0.5236   -6253.0391  0.2714 
   00008    0.4972   -6495.0423  0.2687 
   00009    0.4796   -6664.6925  0.2702 
   00010    0.4872   -6800.3688  0.2710 
   00011    0.4800   -6865.8442  0.2792 
   00012    0.4868   -6973.8196  0.2834 
   00013    0.4672   -7082.3650  0.2826 
   00014    0.4696   -7138.7690  0.2783 
   00015    0.4560   -7188.0985  0.2764 
   00016    0.4588   -7264.8622  0.2795 
   00017    0.4564   -7336.1568  0.2780 
   00018    0.4588   -7366.9336  0.2831 
   00019    0.4444   -7439.3426  0.2792 
   00020    0.4332   -7464.1777  0.2881 
   00021    0.4728   -7526.4120  0.2839 
   00022    0.4540   -7604.8744  0.2807 
   00023    0.4360   -7646.1281  0.2799 
   00024    0.4396   -7700.9680  0.2822 
   00025    0.4384   -7671.9255  0.2859 
   00026    0.4488   -7749.1806  0.2889 
   00027    0.4200   -7764.6792  0.2993 
   00028    0.4344   -7811.1490  0.3019 
   00029    0.4416   -7860.2275  0.3111 
   00030    0.4368   -7943.6166  0.3171 
   00031    0.4388   -7954.7635  0.3170 
   00032    0.4308   -7954.8577  0.3216 
   00033    0.4432   -7942.1210  0.3234 
   00034    0.4308   -7986.3186  0.3240 
   00035    0.4256   -7999.2435  0.3230 
   00036    0.4268   -7986.4785  0.3250 
   00037    0.4472   -8000.4909  0.3195 
   00038    0.4264   -8007.9829  0.3105 
   00039    0.4360   -7991.3353  0.3124 
   00040    0.4308   -8044.3633  0.3118 
   00041    0.4248   -8059.7487  0.3146 
   00042    0.4256   -8079.5693  0.3199 
   00043    0.4324   -8108.3916  0.3157 
   00044    0.4152   -8116.1716  0.3120 
   00045    0.4244   -8109.0236  0.3186 
   00046    0.4232   -8110.2647  0.3175 
   00047    0.4312   -8089.0111  0.3171 
   00048    0.4164   -8130.6794  0.3196 
   00049    0.4460   -8142.2094  0.3239 
   00050    0.4268   -8136.7786  0.3254 
   00051    0.4248   -8145.2088  0.3230 
   00052    0.4308   -8153.5896  0.3200 
   00053    0.4220   -8148.0464  0.3198 
   00054    0.4328   -8135.4872  0.3157 
   00055    0.4232   -8148.4758  0.3225 
   00056    0.4176   -8146.6418  0.3164 
   00057    0.4048   -8174.6210  0.3220 
   00058    0.4132   -8199.6850  0.3230 
   00059    0.4240   -8222.7713  0.3223 
   00060    0.4080   -8202.3596  0.3316 
   00061    0.4368   -8223.1003  0.3340 
   00062    0.4148   -8261.2909  0.3358 
   00063    0.4364   -8277.7601  0.3356 
   00064    0.4160   -8223.1300  0.3350 
   00065    0.4124   -8177.3144  0.3368 
   00066    0.4164   -8167.6655  0.3368 
   00067    0.4292   -8228.9813  0.3360 
   00068    0.4244   -8224.9973  0.3375 
   00069    0.4276   -8225.1842  0.3344 
   00070    0.4452   -8215.3900  0.3400 
   00071    0.4208   -8249.4699  0.3417 
   00072    0.4232   -8257.0059  0.3396 
   00073    0.4192   -8226.1115  0.3350 
   00074    0.4124   -8243.6874  0.3327 
   00075    0.4324   -8297.7322  0.3307 
   00076    0.4120   -8254.8681  0.3253 
   00077    0.4132   -8187.5894  0.3319 
   00078    0.4308   -8268.3781  0.3325 
   00079    0.4452   -8267.5965  0.3341 
   00080    0.4268   -8258.8069  0.3265 
   00081    0.4272   -8248.8968  0.3243 
   00082    0.4144   -8353.1091  0.3229 
   00083    0.4200   -8336.5616  0.3136 
   00084    0.4092   -8333.1148  0.3134 
   00085    0.4324   -8301.0569  0.3112 
   00086    0.4004   -8269.1517  0.3079 
   00087    0.4152   -8260.9753  0.3134 
   00088    0.4076   -8292.0795  0.3126 
   00089    0.4284   -8323.9241  0.3178 
   00090    0.4080   -8311.2254  0.3188 
   00091    0.4116   -8317.3634  0.3252 
   00092    0.4172   -8279.2792  0.3271 
   00093    0.4236   -8295.5245  0.3223 
   00094    0.4196   -8285.8120  0.3236 
   00095    0.4312   -8278.9318  0.3224 
   00096    0.4024   -8302.8192  0.3236 
   00097    0.4212   -8275.1648  0.3227 
   00098    0.4240   -8318.0365  0.3211 
   00099    0.4048   -8311.9843  0.3176 
   00100    0.4304   -8300.9681  0.3214 
   00101    0.4032   -8295.0935  0.3241 
   00102    0.4128   -8278.9562  0.3238 
   00103    0.4152   -8287.2442  0.3147 
   00104    0.4296   -8280.9353  0.3219 
   00105    0.4096   -8271.0134  0.3226 
   00106    0.4268   -8319.1795  0.3263 
   00107    0.4208   -8290.7563  0.3313 
