#=====================================================
# File created:        Tue-29-Oct-2024-at-02-47-24PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        2.257158
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -683.8826  0.0698 
   00001    0.6696   -3591.4613  0.2537 
   00002    0.6164   -4342.5345  0.2695 
   00003    0.5528   -4779.3039  0.2723 
   00004    0.5888   -5192.8205  0.2799 
   00005    0.5332   -5570.8391  0.2772 
   00006    0.5452   -5903.5119  0.2801 
   00007    0.5112   -6141.6704  0.2758 
   00008    0.4740   -6292.0325  0.2724 
   00009    0.4700   -6445.3753  0.2818 
   00010    0.4856   -6645.9510  0.2805 
   00011    0.4952   -6838.4427  0.2833 
   00012    0.4656   -6958.1656  0.2752 
   00013    0.4720   -7059.2974  0.2780 
   00014    0.4696   -7168.4871  0.2818 
   00015    0.4556   -7222.9271  0.2842 
   00016    0.4508   -7353.3169  0.2882 
   00017    0.4476   -7395.3031  0.2877 
   00018    0.4564   -7457.0855  0.2901 
   00019    0.4504   -7506.3050  0.2917 
   00020    0.4588   -7544.0894  0.2891 
   00021    0.4488   -7576.8306  0.2870 
   00022    0.4420   -7603.6876  0.2861 
   00023    0.4416   -7646.7677  0.2849 
   00024    0.4504   -7644.9032  0.2857 
   00025    0.4364   -7622.9020  0.2835 
   00026    0.4508   -7672.0680  0.2811 
   00027    0.4472   -7689.7943  0.2834 
   00028    0.4432   -7699.8464  0.2839 
   00029    0.4580   -7757.1045  0.2830 
   00030    0.4368   -7779.8968  0.2867 
   00031    0.4448   -7814.3703  0.2945 
   00032    0.4356   -7833.7540  0.2914 
   00033    0.4472   -7860.7108  0.2897 
   00034    0.4336   -7861.5875  0.2841 
   00035    0.4272   -7895.9420  0.2871 
   00036    0.4068   -7917.0577  0.2875 
   00037    0.4220   -7909.7361  0.2889 
   00038    0.4156   -7956.7873  0.2917 
   00039    0.4420   -8005.5718  0.2965 
   00040    0.4028   -8034.4605  0.2970 
   00041    0.4172   -7982.7452  0.2955 
   00042    0.4236   -8046.0305  0.2922 
   00043    0.4340   -8077.4113  0.2963 
   00044    0.4304   -8087.0329  0.2979 
   00045    0.4208   -8130.8431  0.3017 
   00046    0.4072   -8071.5997  0.2963 
   00047    0.4276   -8063.2616  0.2981 
   00048    0.4344   -8108.1764  0.3031 
   00049    0.4272   -8107.6753  0.2996 
   00050    0.4600   -8084.0814  0.3073 
   00051    0.4400   -8072.5326  0.3206 
   00052    0.4356   -8077.2429  0.3165 
   00053    0.4212   -8128.5110  0.3144 
   00054    0.4060   -8117.1835  0.3167 
   00055    0.4176   -8147.9609  0.3195 
   00056    0.4152   -8162.9656  0.3248 
   00057    0.4204   -8143.2719  0.3288 
   00058    0.4216   -8195.6581  0.3262 
   00059    0.4284   -8191.9007  0.3271 
   00060    0.4076   -8178.7459  0.3206 
   00061    0.4248   -8175.5424  0.3194 
   00062    0.4248   -8232.8561  0.3129 
   00063    0.4276   -8234.0089  0.3129 
   00064    0.4056   -8227.6254  0.3188 
   00065    0.4212   -8230.3577  0.3224 
   00066    0.3956   -8197.1897  0.3233 
   00067    0.4256   -8186.1678  0.3253 
   00068    0.4076   -8193.7871  0.3283 
   00069    0.4436   -8173.9276  0.3252 
   00070    0.4012   -8224.9842  0.3262 
   00071    0.4284   -8210.0730  0.3237 
   00072    0.4068   -8181.5401  0.3242 
   00073    0.4056   -8168.8512  0.3299 
   00074    0.4056   -8211.3899  0.3300 
   00075    0.4080   -8204.5862  0.3367 
   00076    0.4076   -8248.0968  0.3349 
   00077    0.4224   -8266.4967  0.3364 
   00078    0.3920   -8231.5354  0.3350 
   00079    0.4304   -8265.0314  0.3388 
   00080    0.4036   -8278.0078  0.3439 
   00081    0.4008   -8296.3470  0.3469 
   00082    0.4184   -8322.0354  0.3443 
   00083    0.3956   -8307.4711  0.3472 
   00084    0.4060   -8280.7246  0.3459 
   00085    0.4136   -8250.6901  0.3462 
   00086    0.4312   -8251.8846  0.3464 
   00087    0.4004   -8213.2836  0.3526 
   00088    0.4148   -8233.3634  0.3507 
   00089    0.4244   -8230.7085  0.3483 
   00090    0.4152   -8171.1754  0.3488 
   00091    0.4152   -8189.6059  0.3500 
   00092    0.4080   -8188.8906  0.3566 
   00093    0.4148   -8177.8557  0.3533 
   00094    0.4112   -8181.0302  0.3460 
   00095    0.4412   -8197.8145  0.3555 
   00096    0.4128   -8179.4061  0.3602 
   00097    0.4220   -8180.6323  0.3647 
   00098    0.4052   -8195.8440  0.3699 
   00099    0.4016   -8199.6891  0.3768 
   00100    0.4136   -8201.3197  0.3781 
   00101    0.4140   -8213.7058  0.3801 
   00102    0.4216   -8238.3513  0.3820 
   00103    0.4124   -8258.0015  0.3754 
   00104    0.4224   -8238.8941  0.3781 
   00105    0.4040   -8284.1437  0.3744 
   00106    0.4076   -8247.7901  0.3752 
   00107    0.4188   -8291.8817  0.3672 
   00108    0.4232   -8342.5283  0.3593 
   00109    0.4116   -8333.3361  0.3539 
   00110    0.4012   -8323.7930  0.3560 
   00111    0.4216   -8315.3567  0.3575 
   00112    0.4172   -8296.7930  0.3562 
   00113    0.4180   -8293.2706  0.3564 
   00114    0.4020   -8275.5576  0.3552 
   00115    0.4096   -8287.3436  0.3545 
   00116    0.4284   -8257.9100  0.3548 
   00117    0.4144   -8250.9938  0.3558 
   00118    0.4056   -8274.7995  0.3575 
   00119    0.4236   -8278.9302  0.3626 
   00120    0.4264   -8312.5134  0.3609 
   00121    0.4088   -8359.5406  0.3648 
   00122    0.4200   -8328.7917  0.3652 
   00123    0.4036   -8330.9909  0.3639 
   00124    0.4076   -8285.1281  0.3668 
   00125    0.4172   -8304.7904  0.3676 
   00126    0.4304   -8273.3678  0.3708 
   00127    0.4200   -8267.2733  0.3697 
   00128    0.4224   -8281.3639  0.3661 
   00129    0.3992   -8311.7421  0.3661 
