#=====================================================
# File created:        Tue-29-Oct-2024-at-02-49-33PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.164469
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2585.7802  0.2529 
   00001    0.6888   -3852.9038  0.2565 
   00002    0.6188   -4599.0897  0.2573 
   00003    0.5728   -5157.8558  0.2626 
   00004    0.5536   -5547.6386  0.2562 
   00005    0.5248   -5855.8783  0.2684 
   00006    0.5120   -6136.3641  0.2735 
   00007    0.5164   -6316.3062  0.2882 
   00008    0.4968   -6545.5646  0.2930 
   00009    0.4856   -6712.3627  0.2965 
   00010    0.4752   -6863.9159  0.2912 
   00011    0.4632   -6990.8163  0.2884 
   00012    0.4668   -7082.5090  0.2865 
   00013    0.4576   -7167.7556  0.2874 
   00014    0.4812   -7235.4213  0.2893 
   00015    0.4400   -7335.3107  0.2956 
   00016    0.4688   -7443.2657  0.2953 
   00017    0.4412   -7501.5211  0.3005 
   00018    0.4612   -7592.9168  0.3151 
   00019    0.4532   -7625.9979  0.3141 
   00020    0.4440   -7638.9154  0.3103 
   00021    0.4556   -7663.3091  0.3133 
   00022    0.4512   -7699.8634  0.3091 
   00023    0.4360   -7746.7355  0.3110 
   00024    0.4368   -7754.3681  0.3067 
   00025    0.4492   -7814.4148  0.3048 
   00026    0.4224   -7787.2884  0.3052 
   00027    0.4332   -7790.7836  0.3047 
   00028    0.4356   -7802.1937  0.3126 
   00029    0.4436   -7845.6376  0.3081 
   00030    0.4240   -7899.4707  0.2995 
   00031    0.4276   -7977.2242  0.3016 
   00032    0.4308   -7929.1563  0.3026 
   00033    0.4356   -7879.8080  0.2975 
   00034    0.4392   -7932.3785  0.3008 
   00035    0.4276   -8017.2309  0.3086 
   00036    0.4244   -7977.1944  0.3058 
   00037    0.4252   -8037.2968  0.3039 
   00038    0.4248   -8074.2018  0.3068 
   00039    0.4264   -8030.4755  0.3096 
   00040    0.4432   -8072.3623  0.3011 
   00041    0.4196   -8088.6342  0.2996 
   00042    0.4196   -8117.6546  0.3038 
   00043    0.4180   -8111.4981  0.3102 
   00044    0.4236   -8119.9773  0.3102 
   00045    0.4344   -8079.5496  0.3111 
   00046    0.4244   -8096.7441  0.3198 
   00047    0.4360   -8077.8550  0.3128 
   00048    0.4184   -8078.0529  0.3061 
   00049    0.4152   -8106.7871  0.3025 
   00050    0.4240   -8094.0444  0.3015 
   00051    0.4504   -8108.4276  0.2959 
   00052    0.4204   -8133.7510  0.2901 
   00053    0.4148   -8147.5681  0.2915 
   00054    0.4324   -8129.3600  0.2889 
   00055    0.4280   -8137.1551  0.2879 
   00056    0.4096   -8112.3912  0.2870 
   00057    0.4284   -8099.9350  0.2834 
   00058    0.4216   -8120.5596  0.2849 
   00059    0.4356   -8112.1823  0.2898 
   00060    0.4328   -8144.0426  0.2836 
   00061    0.4208   -8130.1639  0.2824 
   00062    0.4148   -8122.3530  0.2792 
   00063    0.4200   -8169.6530  0.2802 
   00064    0.4136   -8160.4826  0.2767 
   00065    0.4080   -8177.0672  0.2742 
   00066    0.4340   -8206.0395  0.2675 
   00067    0.4360   -8209.1186  0.2617 
   00068    0.4452   -8245.6343  0.2607 
   00069    0.4360   -8211.1774  0.2628 
   00070    0.4276   -8220.3337  0.2555 
   00071    0.4108   -8243.2264  0.2576 
   00072    0.4284   -8255.9715  0.2564 
   00073    0.4296   -8216.6191  0.2618 
   00074    0.4320   -8236.4308  0.2644 
   00075    0.4444   -8231.9301  0.2688 
   00076    0.4060   -8198.3246  0.2633 
   00077    0.4168   -8209.1168  0.2597 
   00078    0.4288   -8232.1451  0.2594 
   00079    0.4136   -8228.0482  0.2629 
   00080    0.4280   -8191.4812  0.2595 
   00081    0.4172   -8191.1058  0.2573 
   00082    0.4388   -8168.7977  0.2599 
   00083    0.4396   -8235.3290  0.2624 
   00084    0.4372   -8253.4797  0.2595 
   00085    0.4340   -8262.2313  0.2578 
   00086    0.4080   -8267.3364  0.2592 
   00087    0.4112   -8228.3707  0.2550 
   00088    0.4112   -8200.6225  0.2546 
   00089    0.3960   -8187.2592  0.2573 
   00090    0.4224   -8190.3831  0.2634 
   00091    0.4372   -8184.5007  0.2604 
   00092    0.4200   -8193.1815  0.2577 
   00093    0.4252   -8158.8220  0.2580 
   00094    0.4312   -8163.6824  0.2616 
   00095    0.4260   -8187.2771  0.2614 
   00096    0.4400   -8217.9630  0.2568 
   00097    0.4312   -8183.6673  0.2515 
   00098    0.4176   -8169.3658  0.2512 
   00099    0.4088   -8195.2429  0.2541 
   00100    0.4184   -8215.6131  0.2525 
   00101    0.4092   -8187.2104  0.2575 
   00102    0.4388   -8152.0356  0.2591 
   00103    0.4320   -8214.9990  0.2598 
   00104    0.4152   -8231.6238  0.2626 
   00105    0.4124   -8259.8625  0.2701 
   00106    0.4256   -8268.2508  0.2724 
   00107    0.4384   -8307.8349  0.2718 
   00108    0.4208   -8278.7927  0.2676 
   00109    0.4072   -8236.0022  0.2734 
   00110    0.4312   -8249.7809  0.2672 
   00111    0.4316   -8227.3366  0.2753 
   00112    0.4228   -8256.7744  0.2712 
   00113    0.4216   -8235.9403  0.2746 
   00114    0.3980   -8250.7864  0.2698 
   00115    0.4072   -8284.8976  0.2715 
   00116    0.4128   -8271.7026  0.2666 
   00117    0.4232   -8235.5521  0.2660 
   00118    0.4200   -8223.4600  0.2657 
   00119    0.4212   -8239.2667  0.2616 
   00120    0.4268   -8249.1645  0.2618 
   00121    0.4096   -8248.8698  0.2658 
   00122    0.4204   -8249.7289  0.2624 
   00123    0.4064   -8246.1741  0.2594 
   00124    0.4080   -8262.6781  0.2554 
   00125    0.4236   -8218.5364  0.2581 
   00126    0.4128   -8206.1896  0.2555 
   00127    0.4288   -8238.7945  0.2652 
   00128    0.4176   -8264.8792  0.2646 
   00129    0.4320   -8275.9659  0.2565 
   00130    0.4244   -8288.3974  0.2535 
   00131    0.4144   -8289.0798  0.2553 
   00132    0.4460   -8258.9713  0.2551 
   00133    0.4308   -8306.8189  0.2523 
   00134    0.4208   -8316.2197  0.2550 
   00135    0.4200   -8337.3643  0.2541 
   00136    0.4024   -8362.7647  0.2580 
   00137    0.4264   -8343.0201  0.2600 
   00138    0.4316   -8333.8216  0.2572 
   00139    0.4320   -8309.6106  0.2575 
   00140    0.4184   -8346.5326  0.2636 
   00141    0.4196   -8369.4627  0.2704 
   00142    0.4124   -8356.7521  0.2683 
   00143    0.4184   -8346.4224  0.2637 
   00144    0.4164   -8315.0279  0.2681 
   00145    0.4204   -8312.4893  0.2731 
   00146    0.4080   -8301.9694  0.2734 
   00147    0.4364   -8323.9905  0.2721 
   00148    0.4184   -8346.8575  0.2691 
   00149    0.4128   -8339.0493  0.2725 
   00150    0.4136   -8328.0747  0.2641 
   00151    0.4300   -8299.9257  0.2593 
   00152    0.4284   -8332.5388  0.2570 
   00153    0.4084   -8290.7407  0.2577 
   00154    0.4200   -8301.8710  0.2573 
