#=====================================================
# File created:        Tue-29-Oct-2024-at-05-08-40PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.091347
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2363.4354  0.2558 
   00001    0.6992   -3567.5342  0.2624 
   00002    0.6168   -4351.2685  0.2551 
   00003    0.5972   -4979.3168  0.2525 
   00004    0.5536   -5474.8044  0.2509 
   00005    0.5572   -5747.8227  0.2649 
   00006    0.5572   -6045.4634  0.2668 
   00007    0.5240   -6288.8778  0.2620 
   00008    0.5000   -6488.7961  0.2671 
   00009    0.4908   -6677.6510  0.2742 
   00010    0.4776   -6817.3456  0.2833 
   00011    0.4840   -6904.1302  0.2805 
   00012    0.4676   -7061.3564  0.2793 
   00013    0.4684   -7204.6395  0.2868 
   00014    0.4668   -7260.7357  0.2781 
   00015    0.4612   -7344.0005  0.2725 
   00016    0.4440   -7426.3931  0.2826 
   00017    0.4544   -7459.2654  0.2835 
   00018    0.4780   -7534.4438  0.2784 
   00019    0.4472   -7590.4443  0.2829 
   00020    0.4436   -7608.6728  0.2816 
   00021    0.4552   -7682.4290  0.2821 
   00022    0.4468   -7681.6268  0.2833 
   00023    0.4412   -7724.5056  0.2813 
   00024    0.4468   -7749.1082  0.2840 
   00025    0.4420   -7786.6518  0.2849 
   00026    0.4148   -7795.7801  0.2797 
   00027    0.4356   -7822.1148  0.2717 
   00028    0.4332   -7874.6170  0.2720 
   00029    0.4244   -7876.1136  0.2769 
   00030    0.4384   -7912.1370  0.2674 
   00031    0.4320   -7952.3222  0.2689 
   00032    0.4252   -7934.8111  0.2656 
   00033    0.4288   -7935.2948  0.2688 
   00034    0.4316   -7945.2263  0.2736 
   00035    0.4444   -7957.7972  0.2712 
   00036    0.4280   -7968.9266  0.2682 
   00037    0.4328   -8004.1580  0.2679 
   00038    0.4272   -8012.3022  0.2706 
   00039    0.4216   -8026.5048  0.2719 
   00040    0.4300   -8052.6367  0.2713 
   00041    0.4272   -8099.0017  0.2778 
   00042    0.3928   -8095.4444  0.2816 
   00043    0.4196   -8112.4396  0.2800 
   00044    0.4260   -8153.9307  0.2828 
   00045    0.4272   -8133.5767  0.2913 
   00046    0.4280   -8145.6192  0.2928 
   00047    0.4352   -8174.4893  0.3008 
   00048    0.4220   -8201.7832  0.3019 
   00049    0.4232   -8232.1072  0.3063 
   00050    0.4304   -8238.8643  0.3070 
