#=====================================================
# File created:        Tue-29-Oct-2024-at-02-01-33PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.128070
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2530.0868  0.2536 
   00001    0.6640   -3722.6276  0.2625 
   00002    0.6256   -4426.9503  0.2683 
   00003    0.6016   -4946.3858  0.2639 
   00004    0.5548   -5339.4863  0.2612 
   00005    0.5424   -5771.1768  0.2609 
   00006    0.5188   -6045.2575  0.2575 
   00007    0.4908   -6228.7185  0.2613 
   00008    0.5088   -6446.5511  0.2688 
   00009    0.5096   -6619.7550  0.2747 
   00010    0.4988   -6766.6060  0.2732 
   00011    0.4836   -6903.2462  0.2675 
   00012    0.4864   -6998.2073  0.2703 
   00013    0.4720   -7207.9301  0.2716 
   00014    0.4512   -7295.8991  0.2761 
   00015    0.4592   -7330.1485  0.2820 
   00016    0.4472   -7375.9476  0.2725 
   00017    0.4532   -7414.9284  0.2747 
   00018    0.4616   -7477.3430  0.2740 
   00019    0.4512   -7570.6754  0.2752 
   00020    0.4396   -7641.3664  0.2805 
   00021    0.4448   -7681.3004  0.2709 
   00022    0.4672   -7688.4649  0.2652 
   00023    0.4384   -7677.8826  0.2645 
   00024    0.4524   -7696.7468  0.2592 
   00025    0.4488   -7707.4285  0.2621 
   00026    0.4456   -7693.9237  0.2620 
   00027    0.4372   -7765.6614  0.2594 
   00028    0.4256   -7822.1778  0.2647 
   00029    0.4376   -7833.8401  0.2610 
   00030    0.4448   -7828.9750  0.2660 
   00031    0.4428   -7834.2449  0.2686 
   00032    0.4380   -7848.3676  0.2744 
   00033    0.4576   -7852.6503  0.2866 
   00034    0.4460   -7886.6301  0.2894 
   00035    0.4360   -7896.9431  0.2772 
   00036    0.4452   -7870.7402  0.2798 
   00037    0.4280   -7844.8957  0.2797 
   00038    0.4440   -7862.8671  0.2897 
   00039    0.4220   -7880.7497  0.2876 
   00040    0.4268   -7944.3839  0.2846 
   00041    0.4432   -7958.4231  0.2946 
   00042    0.4460   -7992.9095  0.3004 
   00043    0.4168   -8035.8644  0.3032 
   00044    0.4356   -8019.0297  0.3087 
   00045    0.4144   -8038.9502  0.3097 
   00046    0.4264   -8060.2853  0.3138 
   00047    0.4068   -8036.3874  0.3201 
   00048    0.4392   -8053.5811  0.3284 
   00049    0.4348   -8044.3461  0.3278 
   00050    0.4248   -8088.1903  0.3295 
   00051    0.4276   -8067.4773  0.3324 
   00052    0.4212   -8078.8307  0.3248 
   00053    0.4368   -8080.7565  0.3253 
   00054    0.4340   -8093.4883  0.3335 
   00055    0.4300   -8102.7399  0.3283 
   00056    0.4404   -8100.9959  0.3312 
   00057    0.4220   -8086.5114  0.3344 
   00058    0.4304   -8140.6034  0.3348 
   00059    0.4356   -8155.8979  0.3398 
   00060    0.4236   -8150.0621  0.3364 
   00061    0.4196   -8174.4684  0.3402 
   00062    0.4160   -8175.5014  0.3371 
   00063    0.4192   -8197.7680  0.3417 
   00064    0.4384   -8202.4563  0.3343 
   00065    0.4164   -8218.4109  0.3408 
   00066    0.4376   -8210.4466  0.3334 
   00067    0.4092   -8165.1669  0.3301 
   00068    0.4392   -8189.4906  0.3256 
   00069    0.4328   -8208.1731  0.3254 
   00070    0.4276   -8176.3070  0.3257 
   00071    0.4144   -8209.6287  0.3265 
   00072    0.4340   -8180.0891  0.3255 
   00073    0.4052   -8214.9714  0.3195 
   00074    0.4172   -8206.2328  0.3234 
   00075    0.4304   -8193.6624  0.3269 
   00076    0.4288   -8202.7593  0.3316 
   00077    0.4140   -8186.8700  0.3265 
   00078    0.4224   -8183.4299  0.3294 
   00079    0.4252   -8211.4868  0.3301 
   00080    0.4144   -8213.1580  0.3298 
   00081    0.4076   -8231.0308  0.3362 
   00082    0.4060   -8152.5126  0.3397 
   00083    0.4256   -8131.6136  0.3398 
   00084    0.4360   -8170.7985  0.3403 
   00085    0.4320   -8207.7329  0.3419 
   00086    0.4172   -8221.6636  0.3474 
   00087    0.4224   -8213.4633  0.3455 
   00088    0.4300   -8202.9499  0.3461 
   00089    0.4196   -8184.9168  0.3456 
   00090    0.4104   -8227.4204  0.3470 
   00091    0.4348   -8275.0611  0.3441 
   00092    0.4164   -8246.8446  0.3459 
   00093    0.4108   -8260.9469  0.3510 
   00094    0.4092   -8282.1665  0.3566 
   00095    0.4332   -8275.0492  0.3576 
   00096    0.4192   -8264.6784  0.3591 
   00097    0.4244   -8257.1601  0.3552 
   00098    0.4128   -8255.8464  0.3523 
