#=====================================================
# File created:        Tue-29-Oct-2024-at-02-20-15PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        2.081765
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2575.7836  0.2600 
   00001    0.6116   -3731.3339  0.2633 
   00002    0.5740   -4240.2177  0.2727 
   00003    0.5968   -4539.6030  0.2703 
   00004    0.6000   -4769.3637  0.2856 
   00005    0.6172   -4933.5229  0.2917 
   00006    0.6048   -5035.8935  0.3034 
   00007    0.6256   -5079.2132  0.3104 
   00008    0.6352   -5210.2922  0.3044 
   00009    0.6296   -5274.5215  0.3059 
   00010    0.6324   -5272.0846  0.2957 
   00011    0.6596   -5335.4558  0.2986 
   00012    0.6504   -5484.6989  0.2945 
   00013    0.6504   -5523.8725  0.3068 
   00014    0.6448   -5432.5715  0.3074 
   00015    0.6796   -5405.8974  0.3014 
   00016    0.6448   -5546.8820  0.3015 
   00017    0.6732   -5608.7049  0.3102 
   00018    0.6724   -5561.9649  0.2992 
   00019    0.6588   -5565.0685  0.3057 
   00020    0.6828   -5645.5522  0.2991 
   00021    0.7064   -5696.3130  0.3075 
   00022    0.6844   -5679.8838  0.2937 
   00023    0.6808   -5759.3182  0.2815 
   00024    0.6776   -5812.3998  0.2828 
   00025    0.6708   -5762.0746  0.2845 
   00026    0.6952   -5718.2605  0.2863 
   00027    0.6660   -5688.1074  0.2811 
   00028    0.6944   -5647.5757  0.2788 
   00029    0.6756   -5686.7705  0.2802 
   00030    0.6552   -5633.8492  0.2838 
   00031    0.6656   -5633.8262  0.2907 
   00032    0.6940   -5563.8325  0.2839 
   00033    0.6872   -5601.1928  0.2746 
   00034    0.7012   -5606.3083  0.2778 
   00035    0.6892   -5658.2259  0.2722 
   00036    0.6876   -5655.2840  0.2704 
   00037    0.6972   -5706.6126  0.2662 
   00038    0.6932   -5693.8910  0.2574 
   00039    0.6900   -5712.0438  0.2615 
   00040    0.6840   -5850.3650  0.2556 
   00041    0.6916   -5866.4839  0.2679 
   00042    0.6932   -5866.4736  0.2676 
   00043    0.7032   -5942.4274  0.2690 
   00044    0.6960   -5897.0606  0.2629 
   00045    0.7000   -5889.4315  0.2686 
   00046    0.7192   -5831.7981  0.2791 
   00047    0.6916   -5865.2958  0.2810 
   00048    0.6808   -5841.0092  0.2798 
   00049    0.7012   -5801.9123  0.2897 
   00050    0.6756   -5769.5922  0.2864 
   00051    0.6852   -5721.9060  0.2881 
   00052    0.7032   -5730.6333  0.2857 
   00053    0.6804   -5670.5202  0.2822 
   00054    0.6880   -5711.2990  0.2825 
   00055    0.6972   -5727.8658  0.2755 
   00056    0.6908   -5729.8164  0.2730 
   00057    0.6908   -5751.6714  0.2765 
   00058    0.6956   -5680.6859  0.2604 
   00059    0.7040   -5762.0583  0.2683 
   00060    0.6988   -5652.5157  0.2744 
   00061    0.6988   -5688.7783  0.2775 
   00062    0.6944   -5728.4331  0.2799 
   00063    0.6828   -5773.4241  0.2693 
   00064    0.6980   -5729.2871  0.2821 
   00065    0.6820   -5779.2003  0.2883 
   00066    0.7076   -5693.4709  0.2792 
   00067    0.6992   -5705.1165  0.2834 
   00068    0.6700   -5633.1260  0.2792 
   00069    0.6868   -5637.5129  0.2840 
   00070    0.6860   -5622.4129  0.2827 
   00071    0.6876   -5665.1973  0.2799 
   00072    0.7056   -5529.5670  0.2795 
   00073    0.6800   -5643.2053  0.2836 
   00074    0.6992   -5617.1405  0.2795 
   00075    0.6832   -5569.3375  0.2665 
   00076    0.6668   -5578.1206  0.2675 
   00077    0.6848   -5592.4846  0.2725 
   00078    0.6748   -5551.0372  0.2792 
   00079    0.6760   -5544.6786  0.2819 
   00080    0.6732   -5628.5732  0.2944 
   00081    0.6776   -5620.0587  0.2916 
   00082    0.6728   -5581.6117  0.2945 
   00083    0.6764   -5527.9537  0.2794 
   00084    0.6892   -5558.0706  0.2713 
   00085    0.6524   -5568.9444  0.2714 
   00086    0.6868   -5481.5517  0.2599 
   00087    0.6740   -5503.0314  0.2621 
   00088    0.6720   -5525.0219  0.2638 
   00089    0.6636   -5569.9894  0.2740 
   00090    0.6752   -5588.4527  0.2670 
   00091    0.6744   -5645.3241  0.2626 
   00092    0.6812   -5768.4853  0.2638 
   00093    0.6604   -5621.1290  0.2626 
   00094    0.6612   -5644.4171  0.2809 
   00095    0.6884   -5541.8567  0.2765 
   00096    0.6932   -5595.0067  0.2944 
   00097    0.6692   -5554.3655  0.3060 
   00098    0.6540   -5581.8093  0.2957 
   00099    0.6752   -5599.7865  0.3036 
   00100    0.6680   -5625.7298  0.3006 
   00101    0.6552   -5561.0453  0.2929 
   00102    0.6704   -5536.7189  0.3013 
   00103    0.6592   -5548.1804  0.2905 
