#=====================================================
# File created:        Tue-29-Oct-2024-at-02-19-08PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.157297
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2596.1935  0.2651 
   00001    0.6680   -3779.3605  0.2655 
   00002    0.6312   -4619.2614  0.2598 
   00003    0.5924   -5178.1153  0.2685 
   00004    0.5580   -5565.9929  0.2683 
   00005    0.5504   -5856.3998  0.2718 
   00006    0.5144   -6180.1560  0.2692 
   00007    0.5108   -6400.9039  0.2732 
   00008    0.4936   -6605.5564  0.2712 
   00009    0.4968   -6799.6612  0.2702 
   00010    0.4720   -6860.6898  0.2666 
   00011    0.4512   -7015.8259  0.2660 
   00012    0.4688   -7119.8041  0.2656 
   00013    0.4560   -7202.9152  0.2670 
   00014    0.4704   -7300.8274  0.2622 
   00015    0.4720   -7384.9294  0.2602 
   00016    0.4516   -7440.7785  0.2612 
   00017    0.4304   -7481.3523  0.2640 
   00018    0.4376   -7545.0158  0.2563 
   00019    0.4252   -7600.1237  0.2531 
   00020    0.4556   -7646.4143  0.2526 
   00021    0.4424   -7636.5570  0.2556 
   00022    0.4416   -7680.1900  0.2526 
   00023    0.4368   -7764.0922  0.2542 
   00024    0.4436   -7772.9096  0.2599 
   00025    0.4396   -7780.1892  0.2707 
   00026    0.4244   -7812.4314  0.2662 
   00027    0.4536   -7852.5602  0.2625 
   00028    0.4444   -7854.2490  0.2593 
   00029    0.4416   -7867.9996  0.2630 
   00030    0.4320   -7891.1174  0.2607 
   00031    0.4576   -7929.0759  0.2649 
   00032    0.4324   -7959.4169  0.2637 
   00033    0.4368   -7967.3771  0.2658 
   00034    0.4300   -7989.8592  0.2667 
   00035    0.4344   -8006.2171  0.2661 
   00036    0.4432   -7994.2638  0.2704 
   00037    0.4252   -8028.6406  0.2677 
   00038    0.4144   -8048.6471  0.2709 
   00039    0.4352   -8020.7335  0.2688 
   00040    0.4420   -8060.6135  0.2718 
   00041    0.4256   -8044.9370  0.2710 
