#=====================================================
# File created:        Tue-29-Oct-2024-at-02-02-34PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.141373
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2555.9813  0.2615 
   00001    0.6868   -3843.8598  0.2717 
   00002    0.6240   -4647.6308  0.2746 
   00003    0.5664   -5161.3962  0.2725 
   00004    0.5540   -5526.6678  0.2715 
   00005    0.5328   -5824.2563  0.2783 
   00006    0.5140   -6103.1512  0.2816 
   00007    0.4932   -6347.2975  0.2868 
   00008    0.4996   -6534.1633  0.2874 
   00009    0.4780   -6691.8843  0.2883 
   00010    0.4840   -6849.8420  0.2923 
   00011    0.4716   -6971.9438  0.2954 
   00012    0.4876   -7102.0970  0.2998 
   00013    0.4760   -7217.7260  0.3031 
   00014    0.4644   -7288.8639  0.3046 
   00015    0.4520   -7381.0605  0.3002 
   00016    0.4572   -7392.8232  0.3007 
   00017    0.4392   -7442.1592  0.3040 
   00018    0.4472   -7523.0354  0.3056 
   00019    0.4456   -7564.8996  0.2976 
   00020    0.4476   -7601.0122  0.3075 
   00021    0.4444   -7645.3373  0.3082 
   00022    0.4520   -7699.5601  0.3062 
   00023    0.4484   -7772.7390  0.2997 
   00024    0.4356   -7794.9464  0.3019 
   00025    0.4364   -7780.5309  0.3071 
   00026    0.4600   -7807.2292  0.3085 
   00027    0.4340   -7830.6335  0.3094 
   00028    0.4340   -7873.3831  0.3063 
   00029    0.4320   -7923.5794  0.3049 
   00030    0.4276   -7888.7881  0.3049 
   00031    0.4364   -7922.7328  0.3059 
   00032    0.4280   -7976.0014  0.3038 
   00033    0.4332   -7977.2259  0.3061 
   00034    0.4424   -7921.7725  0.3072 
   00035    0.4452   -7994.1457  0.3051 
   00036    0.4296   -8017.3275  0.3044 
   00037    0.4400   -8021.5446  0.3029 
   00038    0.4312   -8028.2813  0.2984 
   00039    0.4204   -8020.4896  0.3012 
   00040    0.4276   -8069.3636  0.2994 
   00041    0.4104   -8079.9188  0.3011 
   00042    0.4268   -8117.3718  0.2961 
   00043    0.4180   -8128.6255  0.2952 
   00044    0.4284   -8094.1854  0.2898 
   00045    0.4320   -8078.5775  0.2938 
   00046    0.4344   -8087.3419  0.2949 
   00047    0.4348   -8078.0440  0.2928 
   00048    0.4292   -8044.7852  0.2959 
   00049    0.4308   -8073.3491  0.2967 
   00050    0.4136   -8097.2708  0.2925 
   00051    0.4236   -8192.3542  0.2942 
   00052    0.4216   -8145.4372  0.2931 
   00053    0.4360   -8166.8516  0.2980 
   00054    0.4396   -8150.8440  0.3054 
   00055    0.4288   -8227.6308  0.3111 
   00056    0.4332   -8194.5302  0.3064 
   00057    0.4356   -8128.5956  0.3060 
   00058    0.4216   -8118.6771  0.2965 
   00059    0.4216   -8108.1392  0.2919 
   00060    0.4296   -8130.2766  0.2912 
   00061    0.4224   -8177.3772  0.2960 
   00062    0.4172   -8191.1332  0.2986 
   00063    0.4268   -8137.0998  0.2967 
   00064    0.4380   -8192.7542  0.2912 
   00065    0.4328   -8205.9548  0.2955 
   00066    0.4180   -8202.8977  0.2926 
   00067    0.4272   -8202.1738  0.2944 
   00068    0.4088   -8244.3630  0.3036 
   00069    0.4336   -8242.6636  0.3067 
   00070    0.4452   -8226.4033  0.3061 
