#=====================================================
# File created:        Tue-29-Oct-2024-at-02-00-57PM
# Size of lattice:     50x50
# Number of MC steps:  200
# Reduced temperature: 0.500
# Run time (s):        0.248103
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2566.2733  0.2711 
   00001    0.6712   -3322.2208  0.2664 
   00002    0.6004   -3885.9604  0.2659 
   00003    0.5748   -4248.3489  0.2674 
   00004    0.5380   -4569.1190  0.2693 
   00005    0.4788   -4817.0717  0.2627 
   00006    0.4720   -5021.2156  0.2717 
   00007    0.4224   -5107.2745  0.2637 
   00008    0.4572   -5173.0192  0.2653 
   00009    0.4584   -5340.2977  0.2625 
   00010    0.4264   -5414.4704  0.2627 
   00011    0.4304   -5453.7093  0.2609 
   00012    0.4240   -5449.1825  0.2597 
   00013    0.4364   -5539.3378  0.2581 
   00014    0.4324   -5574.5769  0.2584 
   00015    0.4056   -5708.6102  0.2648 
   00016    0.4076   -5665.5428  0.2670 
   00017    0.4136   -5725.4335  0.2702 
   00018    0.4204   -5748.4383  0.2696 
   00019    0.3812   -5723.5419  0.2726 
   00020    0.4092   -5786.6988  0.2746 
   00021    0.3700   -5809.4721  0.2726 
   00022    0.4164   -5780.9067  0.2757 
   00023    0.4180   -5893.5207  0.2739 
   00024    0.3808   -5917.8744  0.2744 
   00025    0.3804   -5884.0031  0.2744 
   00026    0.4104   -5905.5916  0.2661 
   00027    0.4204   -5983.8013  0.2789 
   00028    0.3860   -6055.0761  0.2780 
   00029    0.3944   -6074.7167  0.2836 
   00030    0.3796   -6125.8112  0.2895 
   00031    0.3912   -6133.3745  0.2915 
   00032    0.3792   -6156.0582  0.2929 
   00033    0.3852   -6168.6330  0.2900 
   00034    0.3604   -6188.8149  0.2926 
   00035    0.3948   -6198.7303  0.2870 
   00036    0.3716   -6125.5270  0.2870 
   00037    0.3812   -6176.2580  0.2869 
   00038    0.3720   -6203.0454  0.2770 
   00039    0.3708   -6222.0272  0.2776 
   00040    0.3660   -6256.2825  0.2739 
   00041    0.3720   -6255.1440  0.2772 
   00042    0.3868   -6247.4636  0.2723 
   00043    0.3972   -6318.2604  0.2774 
   00044    0.3572   -6311.0018  0.2773 
   00045    0.3744   -6339.5997  0.2777 
   00046    0.3504   -6314.3008  0.2785 
   00047    0.3608   -6339.4100  0.2813 
   00048    0.3512   -6291.9093  0.2790 
   00049    0.3556   -6353.4089  0.2851 
   00050    0.3664   -6362.8754  0.2883 
   00051    0.3508   -6316.9157  0.2856 
   00052    0.3636   -6337.8293  0.2911 
   00053    0.3484   -6339.3602  0.2952 
   00054    0.3724   -6402.4071  0.2935 
   00055    0.3640   -6397.6094  0.2942 
   00056    0.3636   -6401.7713  0.2931 
   00057    0.3492   -6426.4030  0.2948 
   00058    0.3348   -6453.3361  0.2974 
   00059    0.3560   -6394.0156  0.3034 
   00060    0.3480   -6362.9874  0.3091 
   00061    0.3368   -6313.6933  0.3060 
   00062    0.3876   -6352.4930  0.3086 
   00063    0.3624   -6320.4496  0.3124 
   00064    0.3668   -6327.4166  0.3222 
   00065    0.3848   -6301.9830  0.3271 
   00066    0.3784   -6325.7922  0.3320 
   00067    0.3584   -6313.9884  0.3322 
   00068    0.3552   -6341.0074  0.3307 
   00069    0.3844   -6404.4886  0.3283 
   00070    0.3256   -6392.3443  0.3328 
   00071    0.3616   -6370.9211  0.3335 
   00072    0.3852   -6386.5913  0.3410 
   00073    0.3528   -6333.7511  0.3398 
   00074    0.3480   -6421.7625  0.3422 
   00075    0.3548   -6346.6995  0.3379 
   00076    0.3720   -6417.2856  0.3359 
   00077    0.3548   -6450.2409  0.3329 
   00078    0.3600   -6349.3497  0.3276 
   00079    0.3684   -6370.9821  0.3323 
   00080    0.3848   -6444.9303  0.3373 
   00081    0.3624   -6428.1318  0.3362 
   00082    0.3688   -6451.3884  0.3364 
   00083    0.3592   -6467.3860  0.3373 
   00084    0.3740   -6408.5057  0.3397 
   00085    0.3516   -6390.7736  0.3307 
   00086    0.3692   -6428.7253  0.3257 
   00087    0.3700   -6367.8964  0.3239 
   00088    0.3440   -6312.5486  0.3248 
   00089    0.3596   -6265.9056  0.3127 
   00090    0.3808   -6251.9124  0.3154 
   00091    0.3704   -6317.6076  0.3127 
   00092    0.3536   -6326.9439  0.3106 
   00093    0.3588   -6381.8512  0.3111 
   00094    0.3536   -6363.4787  0.3066 
   00095    0.3576   -6308.0192  0.3068 
   00096    0.3640   -6235.8542  0.3082 
   00097    0.3868   -6258.8247  0.3033 
   00098    0.3712   -6293.7681  0.3069 
   00099    0.3552   -6300.1923  0.2952 
   00100    0.3528   -6293.3761  0.2971 
   00101    0.3640   -6343.7272  0.2948 
   00102    0.3764   -6363.9259  0.2947 
   00103    0.3464   -6319.6674  0.2919 
   00104    0.3724   -6312.9256  0.2931 
   00105    0.3580   -6333.5971  0.2900 
   00106    0.3812   -6430.5797  0.2917 
   00107    0.3760   -6518.7824  0.2921 
   00108    0.3596   -6559.7659  0.2935 
   00109    0.3600   -6502.6554  0.2961 
   00110    0.3424   -6356.0321  0.2954 
   00111    0.3588   -6336.7472  0.2929 
   00112    0.3932   -6454.8744  0.2988 
   00113    0.3548   -6417.4215  0.3108 
   00114    0.3648   -6453.4336  0.3047 
   00115    0.3472   -6382.7210  0.3106 
   00116    0.3608   -6389.7721  0.3070 
   00117    0.3816   -6358.6840  0.3112 
   00118    0.3496   -6321.2889  0.3127 
   00119    0.3656   -6330.0067  0.3143 
   00120    0.3752   -6278.1177  0.2982 
   00121    0.3856   -6316.7435  0.3074 
   00122    0.3712   -6304.9137  0.3063 
   00123    0.3824   -6280.7469  0.3008 
   00124    0.3788   -6302.0210  0.3035 
   00125    0.3680   -6291.9568  0.3069 
   00126    0.3560   -6248.0698  0.3058 
   00127    0.3968   -6296.9236  0.3058 
   00128    0.3780   -6310.8772  0.3068 
   00129    0.3620   -6370.7812  0.3028 
   00130    0.3640   -6437.7209  0.3083 
   00131    0.3420   -6432.6251  0.3143 
   00132    0.3664   -6397.0331  0.3161 
   00133    0.3520   -6316.3234  0.3106 
   00134    0.3780   -6245.9581  0.3184 
   00135    0.3752   -6267.3807  0.3042 
   00136    0.3956   -6304.5784  0.3111 
   00137    0.3548   -6312.7493  0.3027 
   00138    0.3584   -6308.2990  0.3107 
   00139    0.3752   -6295.0684  0.3093 
   00140    0.3612   -6336.5488  0.3063 
   00141    0.3748   -6292.4823  0.3103 
   00142    0.3612   -6290.0661  0.3088 
   00143    0.3616   -6361.3732  0.3088 
   00144    0.3624   -6323.9660  0.3122 
   00145    0.3276   -6341.9959  0.3087 
   00146    0.3600   -6349.8458  0.3071 
   00147    0.3516   -6356.4251  0.3087 
   00148    0.3760   -6313.5102  0.3069 
   00149    0.3756   -6303.0405  0.2976 
   00150    0.3620   -6366.3844  0.2930 
   00151    0.3656   -6344.7135  0.2984 
   00152    0.3820   -6354.6628  0.3042 
   00153    0.3740   -6324.4715  0.3019 
   00154    0.3424   -6266.3237  0.2984 
   00155    0.3980   -6302.5881  0.2968 
   00156    0.3552   -6337.4797  0.2966 
   00157    0.3684   -6341.2324  0.2992 
   00158    0.3676   -6309.8382  0.2910 
   00159    0.3692   -6279.7110  0.3048 
   00160    0.3668   -6261.7084  0.2974 
   00161    0.3656   -6270.9028  0.3040 
   00162    0.3676   -6280.6339  0.3052 
   00163    0.3800   -6236.6791  0.3050 
   00164    0.3704   -6258.0165  0.2936 
   00165    0.3756   -6299.9461  0.2932 
   00166    0.3640   -6247.4321  0.2913 
   00167    0.3760   -6238.9840  0.2917 
   00168    0.3648   -6285.6323  0.2881 
   00169    0.3912   -6303.7948  0.2890 
   00170    0.3808   -6303.9059  0.2873 
   00171    0.3504   -6361.6188  0.2878 
   00172    0.3636   -6407.2544  0.2936 
   00173    0.3436   -6385.9473  0.2936 
   00174    0.3648   -6437.4027  0.3035 
   00175    0.3636   -6387.8623  0.3008 
   00176    0.3564   -6426.4336  0.3015 
   00177    0.3680   -6398.6261  0.3033 
   00178    0.3780   -6401.1369  0.2975 
   00179    0.3624   -6330.8718  0.2980 
   00180    0.3936   -6366.8715  0.3040 
   00181    0.3528   -6348.3499  0.3022 
   00182    0.3680   -6371.0950  0.3053 
   00183    0.3692   -6350.7044  0.3076 
