#=====================================================
# File created:        Thu-10-Oct-2024-at-12-40-34PM
# Size of lattice:     100x100
# Number of MC steps:  100
# Reduced temperature: 100.000
# Run time (s):        21.121719
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -9857.9023  0.2558 
   00001    0.9931  -10040.7976  0.2508 
   00002    0.9950  -10083.8928  0.2635 
   00003    0.9953  -10123.0627  0.2542 
   00004    0.9948  -10084.4105  0.2582 
   00005    0.9943  -10187.7545  0.2572 
   00006    0.9943  -10080.8208  0.2535 
   00007    0.9948  -10128.4528  0.2570 
   00008    0.9935  -10228.0063  0.2615 
   00009    0.9961  -10155.3838  0.2563 
   00010    0.9939  -10162.8748  0.2521 
   00011    0.9954   -9700.4315  0.2541 
   00012    0.9954   -9823.2017  0.2564 
   00013    0.9957  -10227.5821  0.2566 
   00014    0.9940  -10235.1591  0.2599 
   00015    0.9930  -10100.5104  0.2575 
   00016    0.9954  -10084.6536  0.2542 
   00017    0.9954   -9961.0189  0.2636 
   00018    0.9937  -10159.9485  0.2576 
   00019    0.9944  -10135.5055  0.2578 
   00020    0.9949  -10234.1109  0.2623 
   00021    0.9938  -10405.7584  0.2571 
   00022    0.9949  -10266.9831  0.2537 
   00023    0.9944   -9918.8510  0.2644 
   00024    0.9952  -10293.1686  0.2555 
   00025    0.9951   -9907.5826  0.2586 
   00026    0.9944  -10024.1976  0.2585 
   00027    0.9956  -10174.3783  0.2545 
   00028    0.9935  -10017.3346  0.2572 
   00029    0.9937  -10176.6919  0.2551 
   00030    0.9922  -10372.9733  0.2543 
   00031    0.9931  -10005.6644  0.2536 
   00032    0.9942  -10191.6319  0.2501 
   00033    0.9947   -9998.4779  0.2549 
   00034    0.9947  -10207.0981  0.2582 
   00035    0.9949  -10012.8506  0.2571 
   00036    0.9943   -9990.7732  0.2518 
   00037    0.9947   -9941.6874  0.2539 
   00038    0.9952   -9943.3561  0.2535 
   00039    0.9942  -10163.8093  0.2551 
   00040    0.9942  -10130.0976  0.2608 
   00041    0.9959  -10106.5808  0.2602 
   00042    0.9950  -10018.4710  0.2556 
   00043    0.9945  -10002.0381  0.2526 
   00044    0.9953  -10132.3226  0.2521 
   00045    0.9944  -10137.6100  0.2572 
   00046    0.9946  -10353.3914  0.2629 
   00047    0.9947  -10023.6283  0.2513 
   00048    0.9953  -10044.2264  0.2567 
   00049    0.9940  -10246.8379  0.2560 
   00050    0.9960   -9933.6447  0.2607 
   00051    0.9951  -10074.7496  0.2532 
   00052    0.9958  -10264.9612  0.2579 
   00053    0.9934  -10126.1044  0.2564 
   00054    0.9943   -9912.2319  0.2546 
   00055    0.9948  -10242.2280  0.2529 
   00056    0.9941  -10139.0032  0.2507 
   00057    0.9944  -10492.2805  0.2587 
   00058    0.9933  -10302.6027  0.2533 
   00059    0.9930  -10015.7872  0.2501 
   00060    0.9937   -9964.0966  0.2563 
   00061    0.9948   -9936.7023  0.2578 
   00062    0.9940  -10324.2790  0.2554 
   00063    0.9958  -10251.3260  0.2550 
   00064    0.9940   -9904.8803  0.2621 
   00065    0.9939  -10240.5789  0.2575 
   00066    0.9936  -10169.6597  0.2579 
   00067    0.9947  -10163.7980  0.2694 
   00068    0.9952  -10105.9706  0.2631 
   00069    0.9953  -10053.9072  0.2546 
   00070    0.9950   -9956.5779  0.2519 
   00071    0.9951  -10082.2920  0.2562 
   00072    0.9946  -10061.2730  0.2553 
   00073    0.9955  -10138.8724  0.2589 
   00074    0.9947  -10066.0175  0.2591 
   00075    0.9955  -10155.5224  0.2545 
   00076    0.9940  -10399.6971  0.2507 
   00077    0.9939   -9860.9883  0.2537 
   00078    0.9934  -10112.4226  0.2611 
   00079    0.9941   -9833.7837  0.2553 
   00080    0.9949  -10256.0606  0.2562 
   00081    0.9947  -10173.3386  0.2674 
   00082    0.9961  -10240.1082  0.2578 
   00083    0.9948  -10163.4027  0.2572 
   00084    0.9948  -10200.4925  0.2562 
   00085    0.9942  -10084.0275  0.2611 
   00086    0.9947  -10140.5673  0.2661 
   00087    0.9941   -9981.6198  0.2605 
   00088    0.9945  -10284.1240  0.2550 
   00089    0.9944  -10397.7379  0.2530 
   00090    0.9960  -10139.9265  0.2624 
   00091    0.9950   -9860.8837  0.2569 
   00092    0.9947   -9962.1752  0.2530 
   00093    0.9945  -10127.6011  0.2512 
   00094    0.9942  -10265.1321  0.2530 
   00095    0.9945  -10162.7698  0.2594 
   00096    0.9943  -10224.4185  0.2568 
   00097    0.9946   -9964.3066  0.2595 
   00098    0.9938  -10007.4663  0.2561 
   00099    0.9941   -9915.2773  0.2637 
   00100    0.9955  -10368.8014  0.2629 
