         1005431 function calls (990802 primitive calls) in 0.998 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       31    0.002    0.000    1.238    0.040 __init__.py:1(<module>)
    277/1    0.003    0.000    0.998    0.998 {built-in method builtins.exec}
        1    0.000    0.000    0.998    0.998 run_LebwohlLasher_cython.py:1(<module>)
    334/1    0.003    0.000    0.998    0.998 <frozen importlib._bootstrap>:1165(_find_and_load)
    331/1    0.002    0.000    0.998    0.998 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    317/1    0.002    0.000    0.989    0.989 <frozen importlib._bootstrap>:666(_load_unlocked)
    785/3    0.001    0.000    0.989    0.330 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     29/1    0.000    0.000    0.961    0.961 <frozen importlib._bootstrap_external>:1239(exec_module)
     29/1    0.008    0.000    0.961    0.961 {built-in method _imp.exec_dynamic}
    268/3    0.001    0.000    0.954    0.318 <frozen importlib._bootstrap_external>:934(exec_module)
    437/8    0.001    0.000    0.914    0.114 {built-in method builtins.__import__}
   421/46    0.001    0.000    0.836    0.018 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.575    0.575 pyplot.py:1(<module>)
 1071/966    0.019    0.000    0.419    0.000 {built-in method builtins.__build_class__}
      105    0.001    0.000    0.316    0.003 artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.311    0.003 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.292    0.292 figure.py:1(<module>)
      117    0.001    0.000    0.233    0.002 artist.py:1837(kwdoc)
        1    0.000    0.000    0.221    0.221 colorbar.py:1(<module>)
      117    0.005    0.000    0.199    0.002 artist.py:1598(pprint_setters)
      268    0.004    0.000    0.174    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
     4252    0.012    0.000    0.164    0.000 artist.py:1470(get_valid_values)
        1    0.000    0.000    0.136    0.136 contour.py:1(<module>)
     7303    0.074    0.000    0.116    0.000 inspect.py:863(cleandoc)
      325    0.003    0.000    0.114    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        1    0.000    0.000    0.112    0.112 backend_bases.py:1(<module>)
     7315    0.007    0.000    0.107    0.000 inspect.py:844(getdoc)
      307    0.000    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
      307    0.002    0.000    0.105    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
